Name_of_State/UT,Total_Confirmed_cases,Cured/Discharged/Migrated,Death,Date
AndamanandNicobarIslands,9,0,0.0,2020-03-30
AndamanandNicobarIslands,10,0,0.0,2020-04-02
AndamanandNicobarIslands,10,0,0.0,2020-04-03
AndamanandNicobarIslands,10,0,0.0,2020-04-04
AndamanandNicobarIslands,10,0,0.0,2020-04-07
AndamanandNicobarIslands,10,0,0.0,2020-04-08
AndamanandNicobarIslands,11,0,0.0,2020-04-10
AndamanandNicobarIslands,11,10,0.0,2020-04-12
AndamanandNicobarIslands,11,10,0.0,2020-04-14
AndamanandNicobarIslands,11,10,0.0,2020-04-17
AndamanandNicobarIslands,12,11,0.0,2020-04-18
AndamanandNicobarIslands,15,11,0.0,2020-04-20
AndamanandNicobarIslands,16,11,0.0,2020-04-21
AndamanandNicobarIslands,18,11,0.0,2020-04-23
AndamanandNicobarIslands,22,11,0.0,2020-04-24
AndamanandNicobarIslands,27,11,0.0,2020-04-25
AndamanandNicobarIslands,33,11,0.0,2020-04-26
AndamanandNicobarIslands,33,11,0.0,2020-04-27
AndamanandNicobarIslands,33,16,0.0,2020-05-01
AndamanandNicobarIslands,33,16,0.0,2020-05-02
AndamanandNicobarIslands,33,32,0.0,2020-05-04
AndamanandNicobarIslands,33,32,0.0,2020-05-05
AndhraPradesh,19,1,0.0,2020-03-30
AndhraPradesh,86,1,1.0,2020-04-02
AndhraPradesh,132,1,1.0,2020-04-03
AndhraPradesh,161,1,1.0,2020-04-04
AndhraPradesh,266,1,3.0,2020-04-07
AndhraPradesh,305,5,4.0,2020-04-08
AndhraPradesh,363,7,6.0,2020-04-10
AndhraPradesh,381,11,6.0,2020-04-12
AndhraPradesh,473,14,9.0,2020-04-14
AndhraPradesh,534,20,14.0,2020-04-17
AndhraPradesh,603,42,15.0,2020-04-18
AndhraPradesh,722,92,20.0,2020-04-20
AndhraPradesh,757,96,22.0,2020-04-21
AndhraPradesh,895,141,27.0,2020-04-23
AndhraPradesh,955,145,29.0,2020-04-24
AndhraPradesh,1061,171,31.0,2020-04-25
AndhraPradesh,1097,231,31.0,2020-04-26
AndhraPradesh,1177,235,31.0,2020-04-27
AndhraPradesh,1463,403,33.0,2020-05-01
AndhraPradesh,1525,441,33.0,2020-05-02
AndhraPradesh,1650,524,36.0,2020-05-04
AndhraPradesh,1717,589,36.0,2020-05-05
ArunachalPradesh,1,0,0.0,2020-04-03
ArunachalPradesh,1,0,0.0,2020-04-04
